source,title,link,published,relevant,reason,summary
TechCrunch AI,Mark Zuckerberg tells staff that AI agents haven’t progressed as quickly as he’d hoped,https://techcrunch.com/2026/07/02/mark-zuckerberg-tells-staff-that-ai-agents-havent-progressed-as-quickly-as-hed-hoped/,"Thu, 02 Jul 2026 23:38:10 +0000",False,No relevant keywords,"At an internal meeting, the Meta CEO reportedly said that AI development efforts were not moving as quickly as anticipated."
TechCrunch AI,Jersey Mike’s IPO illustrates how bad the AI hype has become,https://techcrunch.com/2026/07/02/jersey-mikes-ipo-illustrates-how-bad-the-ai-hype-has-become/,"Thu, 02 Jul 2026 20:11:59 +0000",False,No relevant keywords,"Just for kicks, I took a look at Jersey Mike's IPO documents. Surely a sandwich shop would have no need to mention AI. But lo and behold."
TechCrunch AI,Meta quietly launches vibe-coded gaming app Pocket,https://techcrunch.com/2026/07/02/meta-quietly-launches-vibe-coded-gaming-app-pocket/,"Thu, 02 Jul 2026 18:44:02 +0000",False,No relevant keywords,"Meta has quietly launched Pocket, an experimental AI app that lets users generate and share interactive mini games using text prompts."
TechCrunch AI,Anthropic is discussing a new custom chip with Samsung,https://techcrunch.com/2026/07/02/anthropic-is-discussing-a-new-custom-chip-with-samsung/,"Thu, 02 Jul 2026 18:31:09 +0000",False,No relevant keywords,The news comes about a week after OpenAI announced its own custom AI chip in a partnership with Broadcom.
TechCrunch AI,OpenAI proposed donating 5% of its equity to a US sovereign wealth fund,https://techcrunch.com/2026/07/02/openai-proposed-donating-5-of-its-equity-to-a-us-sovereign-wealth-fund/,"Thu, 02 Jul 2026 15:20:51 +0000",False,No relevant keywords,"OpenAI CEO Sam Altman has reportedly proposed giving 5% of the company’s equity to a U.S. sovereign wealth fund, reviving discussions about letting the public share in the financial gains from the AI boom."
TechCrunch AI,Microsoft launches its own AI deployment company with $2.5 billion commitment,https://techcrunch.com/2026/07/02/microsoft-launches-its-own-ai-deployment-company-with-2-5-billion-commitment/,"Thu, 02 Jul 2026 13:53:00 +0000",False,No relevant keywords,"Microsoft follows Amazon, OpenAI, and Anthropic with its new AI deployment group."
TechCrunch AI,"Yep, we’re using OpenClaw to date now",https://techcrunch.com/2026/07/02/yep-were-using-openclaw-to-date-now/,"Thu, 02 Jul 2026 12:00:00 +0000",False,No relevant keywords,"Ben Guez has ""a bunch of potential international wives in [his] DMs,"" thanks to an automated script he set up using OpenClaw, Claude code, and Instagram trials."
TechCrunch AI,Indian tech tycoon bets $30M of his own money to build AI alternative to Microsoft Office,https://techcrunch.com/2026/07/01/indian-tech-tycoon-bets-30m-to-build-an-ai-alternative-to-microsoft-office/,"Thu, 02 Jul 2026 05:30:00 +0000",False,No relevant keywords,Neo is Bhavin Turakhia’s fifth venture and his latest involving enterprise software. This time he's taking on Microsoft Office and Google Apps with AI.
TechCrunch AI,"SpaceX has an AI device prototype, and it sure sounds phone-ish",https://techcrunch.com/2026/07/01/spacex-has-an-ai-device-prototype-and-it-sure-sounds-phone-ish/,"Wed, 01 Jul 2026 18:54:18 +0000",False,No relevant keywords,"SpaceX reportedly showed investors a ""handset-like"" AI device before going public. It could be another signal SpaceX wants to expand into wireless."
TechCrunch AI,Ashton Kutcher leaving Sound Ventures to launch new VC firm with Morgan Beller,https://techcrunch.com/2026/07/01/ashton-kutcher-leaving-sound-ventures-to-launch-new-vc-firm-with-morgan-beller/,"Wed, 01 Jul 2026 18:47:22 +0000",False,No relevant keywords,"Sound built its reputation on concentrated, high-conviction bets in category-leading AI labs, while Kutcher's new fund appears to be chasing the layer underneath those companies — the infrastructure and energy that power them."
